"list","item_1_condition","field_1_1","item_2_condition","field_2_1","item_3_condition","field_3_1","item_4_condition","field_4_1","item_5_condition","field_5_1"
287,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=496-acceptability=0","The adults ever wonder whether the driver has arrived at the college campuses.","experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=1820-acceptability=0","Some boy who ever admires more than three doctors approaches many girls.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1151-acceptability=0","Any actresses say that the senators should have the forks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=496-acceptability=0","The adults ever wonder whether the driver has arrived at the college campuses."
288,"experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=1762-acceptability=1","The drivers who always wore glasses cleaned the reports.","experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=1762-acceptability=1","The drivers who always wore glasses cleaned the reports.","experiment=NPI-env=quantifier-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=1820-acceptability=0","Some boy who ever admires more than three doctors approaches many girls.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1151-acceptability=0","Any actresses say that the senators should have the forks."
289,"experiment=NPI-env=superlative-npi=any-crucial_item=newest-licensor=1-scope=1-npi_present=0-paradigm=1340-acceptability=1","The people resemble the newest forks that these customers have lifted.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=249-acceptability=0","Every guest who should remember people insults any reports.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=5565-acceptability=1","None of the students explain that these cups could resemble a senator.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=540-acceptability=1","The drivers wonder whether the child ever skates around the restaurants."
290,"experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=249-acceptability=0","Every guest who should remember people insults any reports.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=5565-acceptability=1","None of the students explain that these cups could resemble a senator.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=540-acceptability=1","The drivers wonder whether the child ever skates around the restaurants.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=newest-licensor=1-scope=1-npi_present=0-paradigm=1340-acceptability=1","The people resemble the newest forks that these customers have lifted."
291,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=5565-acceptability=1","None of the students explain that these cups could resemble a senator.","experiment=NPI-env=superlative-npi=any-crucial_item=newest-licensor=1-scope=1-npi_present=0-paradigm=1340-acceptability=1","The people resemble the newest forks that these customers have lifted.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=249-acceptability=0","Every guest who should remember people insults any reports.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=5565-acceptability=1","None of the students explain that these cups could resemble a senator."
292,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=540-acceptability=1","The drivers wonder whether the child ever skates around the restaurants.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=540-acceptability=1","The drivers wonder whether the child ever skates around the restaurants.","experiment=NPI-env=superlative-npi=any-crucial_item=newest-licensor=1-scope=1-npi_present=0-paradigm=1340-acceptability=1","The people resemble the newest forks that these customers have lifted.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=249-acceptability=0","Every guest who should remember people insults any reports."
293,"experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=1-npi_present=1-paradigm=655-acceptability=1","A girl scarcely ever explains that the customer could like the chairs.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=96-acceptability=1","The girls say that the adult often had taken the cups.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=741-acceptability=1","While the actresses attack the teachers, the teenagers will often take the chairs.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=595-acceptability=0","Even the pedestrians could ever bike to the banks."
294,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=96-acceptability=1","The girls say that the adult often had taken the cups.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=741-acceptability=1","While the actresses attack the teachers, the teenagers will often take the chairs.","experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=595-acceptability=0","Even the pedestrians could ever bike to the banks.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=1-npi_present=1-paradigm=655-acceptability=1","A girl scarcely ever explains that the customer could like the chairs."
295,"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=741-acceptability=1","While the actresses attack the teachers, the teenagers will often take the chairs.","experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=1-npi_present=1-paradigm=655-acceptability=1","A girl scarcely ever explains that the customer could like the chairs.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=96-acceptability=1","The girls say that the adult often had taken the cups.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=741-acceptability=1","While the actresses attack the teachers, the teenagers will often take the chairs."
296,"experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=595-acceptability=0","Even the pedestrians could ever bike to the banks.","experiment=NPI-env=only-npi=ever-crucial_item=even-licensor=0-scope=1-npi_present=1-paradigm=595-acceptability=0","Even the pedestrians could ever bike to the banks.","experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=1-npi_present=1-paradigm=655-acceptability=1","A girl scarcely ever explains that the customer could like the chairs.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=96-acceptability=1","The girls say that the adult often had taken the cups."
297,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=5467-acceptability=0","Any girls imagined that no people have nodded.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=0-npi_present=0-paradigm=1464-acceptability=1","These men only took the glasses.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1879-acceptability=0","Any patients say that the guest has scanned the commentaries.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=876-acceptability=1","The guests also say that the pedestrian cared for the adults."
298,"experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=0-npi_present=0-paradigm=1464-acceptability=1","These men only took the glasses.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1879-acceptability=0","Any patients say that the guest has scanned the commentaries.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=876-acceptability=1","The guests also say that the pedestrian cared for the adults.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=5467-acceptability=0","Any girls imagined that no people have nodded."
299,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1879-acceptability=0","Any patients say that the guest has scanned the commentaries.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=5467-acceptability=0","Any girls imagined that no people have nodded.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=0-npi_present=0-paradigm=1464-acceptability=1","These men only took the glasses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=1879-acceptability=0","Any patients say that the guest has scanned the commentaries."
300,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=876-acceptability=1","The guests also say that the pedestrian cared for the adults.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=876-acceptability=1","The guests also say that the pedestrian cared for the adults.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=5467-acceptability=0","Any girls imagined that no people have nodded.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=any-crucial_item=only-licensor=1-scope=0-npi_present=0-paradigm=1464-acceptability=1","These men only took the glasses."
301,"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=63-acceptability=1","The ladies did not really think that the cafes do resemble the glasses.","experiment=NPI-env=superlative-npi=ever-crucial_item=most popular-licensor=1-scope=1-npi_present=1-paradigm=599-acceptability=1","The girls observe the most popular waitress that the boys had ever visited.","experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=0-npi_present=1-paradigm=1495-acceptability=0","The boy who has skated around a lot of malls ever arrived at a lot of hospitals.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1108-acceptability=1","If the actor discusses any cashiers, the dancers will criticize the cafes."
302,"experiment=NPI-env=superlative-npi=ever-crucial_item=most popular-licensor=1-scope=1-npi_present=1-paradigm=599-acceptability=1","The girls observe the most popular waitress that the boys had ever visited.","experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=0-npi_present=1-paradigm=1495-acceptability=0","The boy who has skated around a lot of malls ever arrived at a lot of hospitals.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1108-acceptability=1","If the actor discusses any cashiers, the dancers will criticize the cafes.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=63-acceptability=1","The ladies did not really think that the cafes do resemble the glasses."
303,"experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=0-npi_present=1-paradigm=1495-acceptability=0","The boy who has skated around a lot of malls ever arrived at a lot of hospitals.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=63-acceptability=1","The ladies did not really think that the cafes do resemble the glasses.","experiment=NPI-env=superlative-npi=ever-crucial_item=most popular-licensor=1-scope=1-npi_present=1-paradigm=599-acceptability=1","The girls observe the most popular waitress that the boys had ever visited.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=0-npi_present=1-paradigm=1495-acceptability=0","The boy who has skated around a lot of malls ever arrived at a lot of hospitals."
304,"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1108-acceptability=1","If the actor discusses any cashiers, the dancers will criticize the cafes.","experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1108-acceptability=1","If the actor discusses any cashiers, the dancers will criticize the cafes.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=63-acceptability=1","The ladies did not really think that the cafes do resemble the glasses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=most popular-licensor=1-scope=1-npi_present=1-paradigm=599-acceptability=1","The girls observe the most popular waitress that the boys had ever visited."
305,"experiment=NPI-env=superlative-npi=ever-crucial_item=most serious-licensor=1-scope=0-npi_present=0-paradigm=660-acceptability=1","The customers also listen to the most serious cashiers that the senator had watched.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1413-acceptability=1","The drivers wonder whether the waitresses sell any rugs.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=784-acceptability=0","The doctors ever say that the waiters have sold the couches.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=1077-acceptability=1","The guys who will seldom talk to any pedestrians watch cashiers."
306,"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1413-acceptability=1","The drivers wonder whether the waitresses sell any rugs.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=784-acceptability=0","The doctors ever say that the waiters have sold the couches.","experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=1077-acceptability=1","The guys who will seldom talk to any pedestrians watch cashiers.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=most serious-licensor=1-scope=0-npi_present=0-paradigm=660-acceptability=1","The customers also listen to the most serious cashiers that the senator had watched."
307,"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=784-acceptability=0","The doctors ever say that the waiters have sold the couches.","experiment=NPI-env=superlative-npi=ever-crucial_item=most serious-licensor=1-scope=0-npi_present=0-paradigm=660-acceptability=1","The customers also listen to the most serious cashiers that the senator had watched.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1413-acceptability=1","The drivers wonder whether the waitresses sell any rugs.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=784-acceptability=0","The doctors ever say that the waiters have sold the couches."
308,"experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=1077-acceptability=1","The guys who will seldom talk to any pedestrians watch cashiers.","experiment=NPI-env=adverbs-npi=any-crucial_item=seldom-licensor=1-scope=1-npi_present=1-paradigm=1077-acceptability=1","The guys who will seldom talk to any pedestrians watch cashiers.","experiment=NPI-env=superlative-npi=ever-crucial_item=most serious-licensor=1-scope=0-npi_present=0-paradigm=660-acceptability=1","The customers also listen to the most serious cashiers that the senator had watched.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1413-acceptability=1","The drivers wonder whether the waitresses sell any rugs."
309,"experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=1-npi_present=0-paradigm=136-acceptability=1","The drivers barely fortunately thought that the pedestrians surrendered.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=278-acceptability=0","Some pedestrians are ever thinking that the guests slumped over.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5417-acceptability=1","The pedestrians can explain that some guys go fishing.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=1-paradigm=150-acceptability=0","The girl ever does like the popular fork that the pedestrians have taken."
310,"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=278-acceptability=0","Some pedestrians are ever thinking that the guests slumped over.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5417-acceptability=1","The pedestrians can explain that some guys go fishing.","experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=1-paradigm=150-acceptability=0","The girl ever does like the popular fork that the pedestrians have taken.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=1-npi_present=0-paradigm=136-acceptability=1","The drivers barely fortunately thought that the pedestrians surrendered."
311,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5417-acceptability=1","The pedestrians can explain that some guys go fishing.","experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=1-npi_present=0-paradigm=136-acceptability=1","The drivers barely fortunately thought that the pedestrians surrendered.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=278-acceptability=0","Some pedestrians are ever thinking that the guests slumped over.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5417-acceptability=1","The pedestrians can explain that some guys go fishing."
312,"experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=1-paradigm=150-acceptability=0","The girl ever does like the popular fork that the pedestrians have taken.","experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=1-paradigm=150-acceptability=0","The girl ever does like the popular fork that the pedestrians have taken.","experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=1-npi_present=0-paradigm=136-acceptability=1","The drivers barely fortunately thought that the pedestrians surrendered.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=278-acceptability=0","Some pedestrians are ever thinking that the guests slumped over."
313,"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=5313-acceptability=1","None of the teachers are imagining that these plays won.","experiment=NPI-env=only-npi=ever-crucial_item=only-licensor=1-scope=1-npi_present=1-paradigm=731-acceptability=1","Only the ladies have ever lifted the books.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=0-npi_present=0-paradigm=726-acceptability=1","The patients often returned to the happy boys that the doctor had visited.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=1-npi_present=0-paradigm=1962-acceptability=1","The actor who has obviously escaped from more than three men insulted more than three waitresses."
314,"experiment=NPI-env=only-npi=ever-crucial_item=only-licensor=1-scope=1-npi_present=1-paradigm=731-acceptability=1","Only the ladies have ever lifted the books.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=0-npi_present=0-paradigm=726-acceptability=1","The patients often returned to the happy boys that the doctor had visited.","experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=1-npi_present=0-paradigm=1962-acceptability=1","The actor who has obviously escaped from more than three men insulted more than three waitresses.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=5313-acceptability=1","None of the teachers are imagining that these plays won."
315,"experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=0-npi_present=0-paradigm=726-acceptability=1","The patients often returned to the happy boys that the doctor had visited.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=5313-acceptability=1","None of the teachers are imagining that these plays won.","experiment=NPI-env=only-npi=ever-crucial_item=only-licensor=1-scope=1-npi_present=1-paradigm=731-acceptability=1","Only the ladies have ever lifted the books.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=happy-licensor=0-scope=0-npi_present=0-paradigm=726-acceptability=1","The patients often returned to the happy boys that the doctor had visited."
316,"experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=1-npi_present=0-paradigm=1962-acceptability=1","The actor who has obviously escaped from more than three men insulted more than three waitresses.","experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=1-npi_present=0-paradigm=1962-acceptability=1","The actor who has obviously escaped from more than three men insulted more than three waitresses.","experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=none of the-licensor=1-scope=1-npi_present=0-paradigm=5313-acceptability=1","None of the teachers are imagining that these plays won.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=only-npi=ever-crucial_item=only-licensor=1-scope=1-npi_present=1-paradigm=731-acceptability=1","Only the ladies have ever lifted the books."
317,"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=96-acceptability=0","While the students insult the pedestrians, the patient will ever dislike the customers.","experiment=NPI-env=superlative-npi=any-crucial_item=newest-licensor=1-scope=0-npi_present=0-paradigm=1874-acceptability=1","The museums resemble the newest college campuses that women had driven to.","experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=0-paradigm=248-acceptability=1","The students criticized the worst pedestrians that the person had often described.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=26-acceptability=1","The actors are not also explaining that an essay has won."
318,"experiment=NPI-env=superlative-npi=any-crucial_item=newest-licensor=1-scope=0-npi_present=0-paradigm=1874-acceptability=1","The museums resemble the newest college campuses that women had driven to.","experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=0-paradigm=248-acceptability=1","The students criticized the worst pedestrians that the person had often described.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=26-acceptability=1","The actors are not also explaining that an essay has won.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=96-acceptability=0","While the students insult the pedestrians, the patient will ever dislike the customers."
319,"experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=0-paradigm=248-acceptability=1","The students criticized the worst pedestrians that the person had often described.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=96-acceptability=0","While the students insult the pedestrians, the patient will ever dislike the customers.","experiment=NPI-env=superlative-npi=any-crucial_item=newest-licensor=1-scope=0-npi_present=0-paradigm=1874-acceptability=1","The museums resemble the newest college campuses that women had driven to.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=0-paradigm=248-acceptability=1","The students criticized the worst pedestrians that the person had often described."
320,"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=26-acceptability=1","The actors are not also explaining that an essay has won.","experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=26-acceptability=1","The actors are not also explaining that an essay has won.","experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=96-acceptability=0","While the students insult the pedestrians, the patient will ever dislike the customers.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=superlative-npi=any-crucial_item=newest-licensor=1-scope=0-npi_present=0-paradigm=1874-acceptability=1","The museums resemble the newest college campuses that women had driven to."
321,"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=743-acceptability=1","If the child arrives at the college campuses, the driver will also explore the public parks.","experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=0-paradigm=139-acceptability=1","The teachers have clearly worked with the popular doctor that the pedestrian had praised.","experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=97-acceptability=1","The ladies fortunately think that a dancer had seldom watched a child.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1550-acceptability=0","While the boys criticize the documentaries, the senators will return to any guests."
322,"experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=0-paradigm=139-acceptability=1","The teachers have clearly worked with the popular doctor that the pedestrian had praised.","experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=97-acceptability=1","The ladies fortunately think that a dancer had seldom watched a child.","experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=1550-acceptability=0","While the boys criticize the documentaries, the senators will return to any guests.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=743-acceptability=1","If the child arrives at the college campuses, the driver will also explore the public parks."
323,"experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=97-acceptability=1","The ladies fortunately think that a dancer had seldom watched a child.","experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=743-acceptability=1","If the child arrives at the college campuses, the driver will also explore the public parks.","experiment=NPI-env=superlative-npi=ever-crucial_item=popular-licensor=0-scope=0-npi_present=0-paradigm=139-acceptability=1","The teachers have clearly worked with the popular doctor that the pedestrian had praised.","attention_check_item_6","Show that you are paying attention by choosing the highest number on the scale.","experiment=NPI-env=adverbs-npi=ever-crucial_item=seldom-licensor=1-scope=0-npi_present=0-paradigm=97-acceptability=1","The ladies fortunately think that a dancer had seldom watched a child."
