""	"metadata"	"experiment"	"environment"	"npi"	"crucial_item"	"licensor"	"scope"	"npi_present"	"paradigm"	"acceptability"	"sentence"	"rand_int"
"164"	"experiment=NPI-env=quantifier-npi=any-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=133"	"NPI"	"quantifier"	"any"	"every"	"1"	"0"	"1"	"133"	0	"Every guy who has listened to a lot of senators boycotts any schools."	200
"1651"	"experiment=NPI-env=superlative-npi=ever-crucial_item=smallest-licensor=1-scope=0-npi_present=0-paradigm=654"	"NPI"	"superlative"	"ever"	"smallest"	"1"	"0"	"0"	"654"	1	"The boys also helped the smallest guys that the women had observed."	200
"172"	"experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=0-paradigm=1427"	"NPI"	"adverbs"	"any"	"always"	"0"	"1"	"0"	"1427"	1	"A child who always referenced these boys references customers."	210
"173"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=0-npi_present=1-paradigm=1719"	"NPI"	"quantifier"	"ever"	"every"	"1"	"0"	"1"	"1719"	0	"Every actress who cleans many cups can ever help more than three customers."	211
"174"	"experiment=NPI-env=superlative-npi=any-crucial_item=cheap-licensor=0-scope=1-npi_present=0-paradigm=1919"	"NPI"	"superlative"	"any"	"cheap"	"0"	"1"	"0"	"1919"	1	"The dancers took the cheap cups that the guests have sold."	211
"176"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=3637"	"NPI"	"simplequestions"	"any"	"?"	"0"	"1"	"1"	"3637"	0	"The people did listen to any students."	213
"1831"	"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=0-paradigm=1627"	"NPI"	"conditional"	"any"	"if"	"1"	"1"	"0"	"1627"	1	"If the actresses flee from these restaurants, the actress will help the adults."	220
"1841"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=0-paradigm=5574"	"NPI"	"sentential_negation_biclausal"	"any"	"not"	"1"	"1"	"0"	"5574"	1	"The senators were not explaining that these children have succeeded."	222
"1861"	"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=991"	"NPI"	"conditional"	"ever"	"if"	"1"	"0"	"0"	"991"	1	"If the actors arrive at the high schools, the waiters will obviously investigate the pedestrians."	223
"190"	"experiment=NPI-env=quantifier-npi=any-crucial_item=each-licensor=1-scope=1-npi_present=1-paradigm=516"	"NPI"	"quantifier"	"any"	"each"	"1"	"1"	"1"	"516"	1	"Each cashier who could sell any books should reference actors."	228
"194"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=215"	"NPI"	"questions"	"ever"	"whether"	"0"	"0"	"0"	"215"	1	"The actors clearly say that the patient went to the grocery stores."	232
"198"	"experiment=NPI-env=superlative-npi=ever-crucial_item=small-licensor=0-scope=0-npi_present=0-paradigm=276"	"NPI"	"superlative"	"ever"	"small"	"0"	"0"	"0"	"276"	1	"The actors clearly investigated the small men that the lady had remembered."	233
"2001"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=585"	"NPI"	"questions"	"ever"	"whether"	"1"	"1"	"1"	"585"	1	"The people wonder whether the pedestrian ever watched the pedestrians."	234
"206"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=1-paradigm=157"	"NPI"	"sentential_negation_biclausal"	"ever"	"really"	"0"	"0"	"1"	"157"	0	"The teachers have ever said that the doctors might really examine the essays."	236
"209"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=0-npi_present=1-paradigm=1313"	"NPI"	"only"	"any"	"_"	"0"	"0"	"1"	"1313"	0	"From what the guy heard, any people even do tour the schools."	239
"210"	"experiment=NPI-env=superlative-npi=ever-crucial_item=worst-licensor=1-scope=1-npi_present=0-paradigm=836"	"NPI"	"superlative"	"ever"	"worst"	"1"	"1"	"0"	"836"	1	"The teenagers hugged the worst guest that the guests have often investigated."	239
"214"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=each-licensor=1-scope=1-npi_present=1-paradigm=1426"	"NPI"	"quantifier"	"ever"	"each"	"1"	"1"	"1"	"1426"	1	"Each patient who can ever buy the cups might sell more than three reports."	242
"215"	"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=1044"	"NPI"	"conditional"	"any"	"if"	"1"	"0"	"1"	"1044"	0	"If the driver tours the schools, the cashiers will kiss any people."	244
"217"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=1624"	"NPI"	"only"	"any"	"_"	"1"	"1"	"1"	"1624"	1	"In the adult's opinion, only the customers knew any cashiers."	245
"218"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=33"	"NPI"	"questions"	"ever"	"whether"	"1"	"0"	"1"	"33"	0	"The waiters ever wonder whether the dancer has skated around the banks."	245
"2201"	"experiment=NPI-env=superlative-npi=ever-crucial_item=young-licensor=0-scope=0-npi_present=1-paradigm=265"	"NPI"	"superlative"	"ever"	"young"	"0"	"0"	"1"	"265"	0	"The adults ever do praise the young driver that the senator had returned to."	246
"2231"	"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=0-npi_present=0-paradigm=1016"	"NPI"	"conditional"	"any"	"if"	"1"	"0"	"0"	"1016"	1	"If the waiters arrive at the schools, the students will know these adults."	248
"225"	"experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=1-npi_present=1-paradigm=1271"	"NPI"	"adverbs"	"any"	"scarcely"	"1"	"1"	"1"	"1271"	1	"A person who has scarcely visited any high schools drops by movie theaters."	249
"232"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=518"	"NPI"	"sentential_negation_biclausal"	"ever"	"really"	"0"	"1"	"1"	"518"	0	"A waitress would really ever explain that the woman will run around the college campuses."	255
"235"	"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=1611"	"NPI"	"conditional"	"any"	"while"	"0"	"1"	"1"	"1611"	0	"While the dancers skate around any schools, the waiters will admire the students."	257
"239"	"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=1556"	"NPI"	"conditional"	"any"	"while"	"0"	"0"	"0"	"1556"	1	"While the guest listens to the girls, the ladies will love those guys."	259
"2461"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=0-npi_present=0-paradigm=5057"	"NPI"	"sentential_negation_biclausal"	"any"	"not"	"1"	"0"	"0"	"5057"	1	"Those children did say that those women have not protested."	264
"250"	"experiment=NPI-env=adverbs-npi=any-crucial_item=barely-licensor=1-scope=0-npi_present=0-paradigm=1060"	"NPI"	"adverbs"	"any"	"barely"	"1"	"0"	"0"	"1060"	1	"A teenager who barely visits children has insulted these movie theaters."	266
"251"	"experiment=NPI-env=conditional-npi=any-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=1118"	"NPI"	"conditional"	"any"	"while"	"0"	"1"	"0"	"1118"	1	"While the adults praise those plays, the customers will remember the high schools."	266
"2551"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=the-licensor=0-scope=0-npi_present=1-paradigm=1441"	"NPI"	"quantifier"	"ever"	"the"	"0"	"0"	"1"	"1441"	0	"The boys who love many patients ever explore schools."	267
"262"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=1-npi_present=1-paradigm=498"	"NPI"	"adverbs"	"ever"	"barely"	"1"	"1"	"1"	"498"	1	"The teenager barely ever explained that the children have stood up."	272
"273"	"experiment=NPI-env=adverbs-npi=any-crucial_item=often-licensor=0-scope=0-npi_present=0-paradigm=1409"	"NPI"	"adverbs"	"any"	"often"	"0"	"0"	"0"	"1409"	1	"The guests who often criticize art galleries criticized the museums."	278
"277"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=1-npi_present=1-paradigm=1085"	"NPI"	"quantifier"	"ever"	"a"	"0"	"1"	"1"	"1085"	0	"A pedestrian who ever boycotts a lot of restaurants has known more than three girls."	282
"288"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=0-npi_present=1-paradigm=515"	"NPI"	"sentential_negation_biclausal"	"ever"	"not"	"1"	"0"	"1"	"515"	0	"The adults have ever imagined that the guest had not fled from the guys."	289
"2961"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=always-licensor=0-scope=0-npi_present=0-paradigm=560"	"NPI"	"adverbs"	"ever"	"always"	"0"	"0"	"0"	"560"	1	"The actress clearly explains that a senator has always complained."	302
"321"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=305"	"NPI"	"questions"	"ever"	"whether"	"1"	"1"	"0"	"305"	1	"The patients wonder whether the boys clearly would explore the restaurants."	318
"324"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=1-paradigm=795"	"NPI"	"conditional"	"ever"	"while"	"0"	"1"	"1"	"795"	0	"While the teenagers ever drive to the grocery stores, the teenager will hate the cashiers."	323
"3281"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=1225"	"NPI"	"only"	"any"	"_"	"0"	"1"	"0"	"1225"	1	"In the man's opinion, even the actors had exited the libraries."	327
"330"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=106"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"0"	"0"	"106"	1	"Just as the student said, the child had certainly thought that some documentaries win."	330
"345"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=1-npi_present=0-paradigm=142"	"NPI"	"sentential_negation_biclausal"	"ever"	"really"	"0"	"1"	"0"	"142"	1	"The teenagers had really clearly thought that the newspaper articles have referenced the actors."	341
"384"	"experiment=NPI-env=adverbs-npi=any-crucial_item=scarcely-licensor=1-scope=1-npi_present=0-paradigm=1942"	"NPI"	"adverbs"	"any"	"scarcely"	"1"	"1"	"0"	"1942"	1	"The cashiers who scarcely leave that fish respected libraries."	365
"405"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=0-npi_present=1-paradigm=346"	"NPI"	"only"	"ever"	"_"	"1"	"0"	"1"	"346"	0	"In the guest's opinion, a senator has ever bought only the pants."	381
"428"	"experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=1-npi_present=0-paradigm=639"	"NPI"	"quantifier"	"any"	"all"	"1"	"1"	"0"	"639"	1	"All customers who wear the glasses sold dishes."	398
"430"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=1-npi_present=0-paradigm=5919"	"NPI"	"determiner_negation_biclausal"	"any"	"no"	"1"	"1"	"0"	"5919"	1	"Just as the boy said, no guests said that these actors were painting."	400
"471"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=621"	"NPI"	"determiner_negation_biclausal"	"ever"	"no"	"1"	"0"	"1"	"621"	0	"From what the patient heard, the adult can ever imagine that no pedestrians should reunite."	423
"512"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=0-npi_present=0-paradigm=561"	"NPI"	"only"	"ever"	"_"	"1"	"0"	"0"	"561"	1	"According to the person, the teenagers would certainly sell only the forks."	457
"519"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=0-npi_present=0-paradigm=319"	"NPI"	"only"	"ever"	"_"	"0"	"0"	"0"	"319"	1	"As the cashier knows, the patients often drive to even the restaurants."	459
"548"	"experiment=NPI-env=superlative-npi=any-crucial_item=smallest-licensor=1-scope=1-npi_present=1-paradigm=1226"	"NPI"	"superlative"	"any"	"smallest"	"1"	"1"	"1"	"1226"	1	"The teachers remember the smallest guests that any customers had kissed."	488
"587"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=every-licensor=1-scope=1-npi_present=0-paradigm=1030"	"NPI"	"quantifier"	"ever"	"every"	"1"	"1"	"0"	"1030"	1	"Every waitress who has often lifted more than three forks bikes to the art galleries."	518
"629"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=0-npi_present=1-paradigm=1917"	"NPI"	"questions"	"any"	"whether"	"1"	"0"	"1"	"1917"	0	"Any teachers wonder whether the waitress can describe pedestrians."	545
"641"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=1705"	"NPI"	"questions"	"any"	"whether"	"0"	"1"	"0"	"1705"	1	"The dancers say that the students did have the shoes."	552
"673"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=1-npi_present=1-paradigm=1835"	"NPI"	"only"	"any"	"_"	"0"	"1"	"1"	"1835"	0	"In the man's opinion, even the cashiers approach any teenagers."	576
"694"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=0-paradigm=5492"	"NPI"	"determiner_negation_biclausal"	"any"	"no"	"1"	"0"	"0"	"5492"	1	"As the child knows, these waiters think that no pedestrians buy the glass."	589
"812"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=1-npi_present=0-paradigm=924"	"NPI"	"conditional"	"ever"	"while"	"0"	"1"	"0"	"924"	1	"While the guest often passes the college campuses, the children will praise the patients."	663
"860"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=1-npi_present=1-paradigm=5821"	"NPI"	"sentential_negation_biclausal"	"any"	"really"	"0"	"1"	"1"	"5821"	0	"Those women were really imagining that any patients are stretching."	698
"1053"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=0-paradigm=406"	"NPI"	"questions"	"ever"	"whether"	"0"	"1"	"0"	"406"	1	"The actors say that the driver fortunately had the rugs."	831
"130"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=1553"	"NPI"	"simplequestions"	"ever"	"?"	"1"	"1"	"0"	"1553"	1	"Was the actor often being at the libraries?"	20
"216"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=0-paradigm=923"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"1"	"0"	"923"	1	"Just as the person said, some waiter will often say that the cashiers can exit the museums."	53
"313"	"experiment=NPI-env=superlative-npi=any-crucial_item=fast-licensor=0-scope=0-npi_present=1-paradigm=1449"	"NPI"	"superlative"	"any"	"fast"	"0"	"0"	"1"	"1449"	0	"Any pamphlets described the fast senators that patients had cared for."	55
"413"	"experiment=NPI-env=quantifier-npi=any-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=172"	"NPI"	"quantifier"	"any"	"all"	"1"	"0"	"0"	"172"	1	"All waitresses who had escaped from a lot of girls had bought those couches."	61
"613"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=5115"	"NPI"	"sentential_negation_biclausal"	"any"	"not"	"1"	"1"	"1"	"5115"	1	"The doctors are not explaining that any newspaper articles could win."	65
"710"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=619"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"0"	"1"	"619"	0	"From what the guest heard, the adults ever do imagine that some women discussed the movie theater."	78
"811"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=1-paradigm=781"	"NPI"	"only"	"ever"	"_"	"0"	"1"	"1"	"781"	0	"From what the student heard, even the man ever drops by the art galleries."	84
"91"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=0-paradigm=5673"	"NPI"	"determiner_negation_biclausal"	"any"	"some"	"0"	"0"	"0"	"5673"	1	"According to the waitress, the ladies think that some teachers can talk to the waitresses."	86
"1010"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=scarcely-licensor=1-scope=0-npi_present=0-paradigm=607"	"NPI"	"adverbs"	"ever"	"scarcely"	"1"	"0"	"0"	"607"	1	"The women also say that the patients scarcely chatted."	89
"1110"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=200"	"NPI"	"adverbs"	"ever"	"always"	"0"	"1"	"1"	"200"	0	"The guys always ever explain that the waitresses can clean a fork."	93
"1211"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=1-npi_present=1-paradigm=828"	"NPI"	"questions"	"ever"	"whether"	"0"	"1"	"1"	"828"	0	"The adults say that the driver ever skated around the malls."	95
"134"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=0-npi_present=1-paradigm=252"	"NPI"	"adverbs"	"ever"	"sometimes"	"0"	"0"	"1"	"252"	0	"The guy ever said that the pedestrians have sometimes spoken up."	96
"142"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=not-licensor=1-scope=1-npi_present=1-paradigm=415"	"NPI"	"sentential_negation_biclausal"	"ever"	"not"	"1"	"1"	"1"	"415"	1	"The guest had not ever said that the students would assemble."	98
"155"	"experiment=NPI-env=quantifier-npi=any-crucial_item=some-licensor=0-scope=0-npi_present=1-paradigm=718"	"NPI"	"quantifier"	"any"	"some"	"0"	"0"	"1"	"718"	0	"Some man who scanned more than three books had watched any students."	100
"171"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=a-licensor=0-scope=1-npi_present=0-paradigm=1321"	"NPI"	"quantifier"	"ever"	"a"	"0"	"1"	"0"	"1321"	1	"A doctor who can clearly run around some hospitals kissed a lot of actresses."	109
"188"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=1807"	"NPI"	"simplequestions"	"ever"	"?"	"0"	"1"	"0"	"1807"	1	"The girl can obviously talk about the actors."	110
"205"	"experiment=NPI-env=superlative-npi=ever-crucial_item=important-licensor=0-scope=1-npi_present=0-paradigm=577"	"NPI"	"superlative"	"ever"	"important"	"0"	"1"	"0"	"577"	1	"The student had taken the important fork that the waiter had often broken."	111
"219"	"experiment=NPI-env=superlative-npi=any-crucial_item=happy-licensor=0-scope=1-npi_present=1-paradigm=1425"	"NPI"	"superlative"	"any"	"happy"	"0"	"1"	"1"	"1425"	0	"The dancers have fled from the happy boys that any cashiers have referenced."	111
"22"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=sometimes-licensor=0-scope=1-npi_present=0-paradigm=802"	"NPI"	"adverbs"	"ever"	"sometimes"	"0"	"1"	"0"	"802"	1	"The girls sometimes often said that the patient has scanned the books."	114
"243"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=some-licensor=0-scope=1-npi_present=1-paradigm=557"	"NPI"	"determiner_negation_biclausal"	"ever"	"some"	"0"	"1"	"1"	"557"	0	"As the senator knows, some teachers have ever explained that the customers tour the cafes."	117
"25"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=-licensor=0-scope=0-npi_present=0-paradigm=1932"	"NPI"	"quantifier"	"ever"	""	"0"	"0"	"0"	"1932"	1	"People who did see many gloves obviously do visit some patients."	117
"261"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=0-scope=0-npi_present=0-paradigm=1850"	"NPI"	"questions"	"any"	"whether"	"0"	"0"	"0"	"1850"	1	"The cashiers say that the actor does return to the cafes."	117
"292"	"experiment=NPI-env=adverbs-npi=any-crucial_item=always-licensor=0-scope=1-npi_present=1-paradigm=1718"	"NPI"	"adverbs"	"any"	"always"	"0"	"1"	"1"	"1718"	0	"The senator who always visited any guests scanned stories."	121
"331"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=0-paradigm=2473"	"NPI"	"simplequestions"	"any"	"?"	"0"	"1"	"0"	"2473"	1	"The pedestrian should bike to these public parks."	132
"374"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=0-scope=1-npi_present=0-paradigm=977"	"NPI"	"only"	"ever"	"_"	"0"	"1"	"0"	"977"	1	"In the waiter's opinion, even a teacher can often escape from the guys."	139
"382"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=0-paradigm=3891"	"NPI"	"simplequestions"	"any"	"?"	"1"	"1"	"0"	"3891"	1	"Will the ladies bike to those museums?"	139
"415"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=0-scope=0-npi_present=1-paradigm=649"	"NPI"	"questions"	"ever"	"whether"	"0"	"0"	"1"	"649"	0	"The teenagers ever say that the pedestrians clean the couches."	143
"422"	"experiment=NPI-env=questions-npi=ever-crucial_item=whether-licensor=1-scope=0-npi_present=0-paradigm=864"	"NPI"	"questions"	"ever"	"whether"	"1"	"0"	"0"	"864"	1	"The men obviously wonder whether the guests lift the shoes."	146
"432"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=1-paradigm=1342"	"NPI"	"questions"	"any"	"whether"	"1"	"1"	"1"	"1342"	1	"The cashiers wonder whether the guests were biking to any banks."	146
"441"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=1-npi_present=0-paradigm=944"	"NPI"	"adverbs"	"ever"	"barely"	"1"	"1"	"0"	"944"	1	"An adult barely obviously explained that the women had explored the library."	147
"521"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=0-npi_present=0-paradigm=1625"	"NPI"	"only"	"any"	"_"	"1"	"0"	"0"	"1625"	1	"In the lady's opinion, these guests only did investigate the pedestrians."	168
"53"	"experiment=NPI-env=sentential_negation_biclausal-npi=ever-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=851"	"NPI"	"sentential_negation_biclausal"	"ever"	"really"	"0"	"0"	"0"	"851"	1	"The actor really does say that the drivers can really take the books."	169
"541"	"experiment=NPI-env=determiner_negation_biclausal-npi=ever-crucial_item=no-licensor=1-scope=1-npi_present=1-paradigm=565"	"NPI"	"determiner_negation_biclausal"	"ever"	"no"	"1"	"1"	"1"	"565"	1	"As the actress knows, no boys have ever explained that the stories have disagreed."	170
"562"	"experiment=NPI-env=superlative-npi=any-crucial_item=nice-licensor=0-scope=0-npi_present=0-paradigm=1482"	"NPI"	"superlative"	"any"	"nice"	"0"	"0"	"0"	"1482"	1	"These people were investigating the nice girl that actors had hugged."	172
"60"	"experiment=NPI-env=adverbs-npi=ever-crucial_item=barely-licensor=1-scope=0-npi_present=1-paradigm=934"	"NPI"	"adverbs"	"ever"	"barely"	"1"	"0"	"1"	"934"	0	"A child ever thought that the teenager barely approves."	180
"614"	"experiment=NPI-env=questions-npi=any-crucial_item=whether-licensor=1-scope=1-npi_present=0-paradigm=1862"	"NPI"	"questions"	"any"	"whether"	"1"	"1"	"0"	"1862"	1	"The teenagers wonder whether the patient is describing those newspaper articles."	181
"63"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=1926"	"NPI"	"simplequestions"	"ever"	"?"	"0"	"1"	"1"	"1926"	0	"The adult has ever talked about the plays."	183
"66"	"experiment=NPI-env=quantifier-npi=ever-crucial_item=all-licensor=1-scope=0-npi_present=0-paradigm=1978"	"NPI"	"quantifier"	"ever"	"all"	"1"	"0"	"0"	"1978"	1	"All waitresses who visited a lot of museums obviously drive to a lot of art galleries."	186
"671"	"experiment=NPI-env=determiner_negation_biclausal-npi=any-crucial_item=no-licensor=1-scope=0-npi_present=1-paradigm=5665"	"NPI"	"determiner_negation_biclausal"	"any"	"no"	"1"	"0"	"1"	"5665"	0	"According to the pedestrian, any guys say that no shoes shrink."	187
"70"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=1-paradigm=404"	"NPI"	"conditional"	"ever"	"while"	"0"	"0"	"1"	"404"	0	"While the boys know the students, the doctor will ever describe the guests."	190
"741"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=1-scope=1-npi_present=0-paradigm=1980"	"NPI"	"only"	"any"	"_"	"1"	"1"	"0"	"1980"	1	"From what the lady heard, only the ladies investigated these banks."	193
"751"	"experiment=NPI-env=conditional-npi=any-crucial_item=if-licensor=1-scope=1-npi_present=1-paradigm=1760"	"NPI"	"conditional"	"any"	"if"	"1"	"1"	"1"	"1760"	1	"If the cashier insults any women, the waitress will bike to the college campuses."	194
"782"	"experiment=NPI-env=adverbs-npi=any-crucial_item=hardly-licensor=1-scope=0-npi_present=1-paradigm=1629"	"NPI"	"adverbs"	"any"	"hardly"	"1"	"0"	"1"	"1629"	0	"The pedestrian who might hardly hug adults liked any forks."	196
"791"	"experiment=NPI-env=conditional-npi=ever-crucial_item=if-licensor=1-scope=0-npi_present=1-paradigm=241"	"NPI"	"conditional"	"ever"	"if"	"1"	"0"	"1"	"241"	0	"If the boy dislikes the cafes, the student will ever sell the cups."	196
"802"	"experiment=NPI-env=superlative-npi=ever-crucial_item=longest-licensor=1-scope=1-npi_present=1-paradigm=717"	"NPI"	"superlative"	"ever"	"longest"	"1"	"1"	"1"	"717"	1	"The men could hate the longest book that the guy had ever talked about."	197
"81"	"experiment=NPI-env=conditional-npi=ever-crucial_item=while-licensor=0-scope=0-npi_present=0-paradigm=980"	"NPI"	"conditional"	"ever"	"while"	"0"	"0"	"0"	"980"	1	"While the cashiers escape from the high schools, the boys will also flee from the actresses."	198
"841"	"experiment=NPI-env=superlative-npi=any-crucial_item=happiest-licensor=1-scope=0-npi_present=1-paradigm=1783"	"NPI"	"superlative"	"any"	"happiest"	"1"	"0"	"1"	"1783"	0	"Any movies are referencing the happiest pedestrians that boys had hated."	201
"871"	"experiment=NPI-env=only-npi=any-crucial_item=_-licensor=0-scope=0-npi_present=0-paradigm=1599"	"NPI"	"only"	"any"	"_"	"0"	"0"	"0"	"1599"	1	"Just as the person said, those adults even love the cashiers."	204
"902"	"experiment=NPI-env=only-npi=ever-crucial_item=_-licensor=1-scope=1-npi_present=1-paradigm=853"	"NPI"	"only"	"ever"	"_"	"1"	"1"	"1"	"853"	1	"As the man knows, only the dancer ever cleaned the glasses."	213
"922"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=2875"	"NPI"	"simplequestions"	"any"	"?"	"1"	"1"	"1"	"2875"	1	"Had the child known any cashiers?"	214
"951"	"experiment=NPI-env=sentential_negation_biclausal-npi=any-crucial_item=really-licensor=0-scope=0-npi_present=0-paradigm=5496"	"NPI"	"sentential_negation_biclausal"	"any"	"really"	"0"	"0"	"0"	"5496"	1	"These cashiers have explained that these actors can really boast."	218
"972"	"experiment=NPI-env=simplequestions-npi=any-crucial_item=?-licensor=0-scope=1-npi_present=1-paradigm=3006"	"NPI"	"simplequestions"	"any"	"?"	"0"	"1"	"1"	"3006"	0	"The actresses do kiss any pedestrians."	222
"981"	"experiment=NPI-env=simplequestions-npi=ever-crucial_item=?-licensor=1-scope=1-npi_present=1-paradigm=1667"	"NPI"	"simplequestions"	"ever"	"?"	"1"	"1"	"1"	"1667"	1	"Is the girl ever boycotting the cafes?"	223
